uuid,file_type,permission,epoch,source
"b""\xa1\xed\xdd'\xe3\xecJn\x90&\xec\xd6\xf9o6\t""",,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xcd\xf1\xfa$\xa5\nE\xc0\x9eI\x8c\x9a\x0e\xbdq\x96',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'-\xcb73\x9apO\xc0\x9a\xdd\xd8\xc4$\x83\x19w',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'Xk\xd0b\xeaCJg\xb3\xf8\x1f\xfb+\x89\xbf\x85',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf0\x8f2\x9f\xbc\xf0J\xf2\xa1\x98{V\xc9\x8f\xf3\x08',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x88\xe5Z\x05\xcb\x13G\xa5\xa8\x13[\xed\xd2\xe4\xac\x9b',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xde\xbe\xaa\xc5G\xcdM\x9f\x8f\x1cs\xde\xb8r\xa2\x8f',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\t\xdey\xf3\xaf7B\xe2\xbb\xd3n::=\x9c0',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'Gx\xda\xba{\xa8O\xf3\xb7\x89Y\\T=\xcb\xe9',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\r\xfd\x9ew\xcbIG&\xa8'\x86L\xf8's\xe9""",,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'[td\xb0d\xf4F\xed\xb3\xc6\x87\xa1\x11\xc2\xac\x05',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xbe\xf5\x94\xb6\xc2\x8bO\x97\x871]\xb5\x92\x82\xe0s',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'1A \xd4\xd9\xf3N6\xa6\xd0\x19\x86w-\x01W',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x7fXD9\xd8\x05B\x05\xa7\x1d\xee\x19\xad\x8ccX',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'7gO\xc54cK\x9c\xb5\xa1\x0e\xa9\xc4z\xb26',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'b\xa0\xcf~\xe6\xfdB\xda\xb7\xcd\xb2\xe0\xc7\x0e\x0b\n',,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\xe5!\xc6l,xB\xeb\x8e\x08'Ry[\xc7L""",,,,SOURCE_WINDOWS_FIVEDIRECTIONS
